datetime,arrival_rate,job_count,hour,day_of_week,is_weekend,is_business_hours,arrival_rate_mean_12,arrival_rate_std_12,arrival_rate_max_12,arrival_rate_min_12,arrival_rate_mean_24,arrival_rate_std_24,arrival_rate_max_24,arrival_rate_min_24
2011-05-01 00:00:00,36623.598,36624,0,6,1,0,36623.59765625,,36623.59765625,36623.59765625,36623.59765625,,36623.59765625,36623.59765625
2011-05-01 00:05:00,37991.883,37992,0,6,1,0,37307.740234375,967.5237125812697,37991.8828125,36623.59765625,37307.740234375,967.5237125812697,37991.8828125,36623.59765625
2011-05-01 00:10:00,39146.37,39146,0,6,1,0,37920.6171875,1262.8956988678328,39146.37109375,36623.59765625,37920.6171875,1262.8956988678328,39146.37109375,36623.59765625
2011-05-01 00:15:00,40001.55,40002,0,6,1,0,38440.8505859375,1464.8691134518597,40001.55078125,36623.59765625,38440.8505859375,1464.8691134518597,40001.55078125,36623.59765625
2011-05-01 00:20:00,40642.934,40643,0,6,1,0,38881.2671875,1605.993478915228,40642.93359375,36623.59765625,38881.2671875,1605.993478915228,40642.93359375,36623.59765625
2011-05-01 00:25:00,41027.76,41028,0,6,1,0,39239.016276041664,1682.6403375555176,41027.76171875,36623.59765625,39239.016276041664,1682.6403375555176,41027.76171875,36623.59765625
2011-05-01 00:30:00,41369.832,41370,0,6,1,0,39543.41852678572,1734.365551562611,41369.83203125,36623.59765625,39543.41852678572,1734.365551562611,41369.83203125,36623.59765625
2011-05-01 00:35:00,41583.625,41584,0,6,1,0,39798.4443359375,1760.2873282247242,41583.625,36623.59765625,39798.4443359375,1760.2873282247242,41583.625,36623.59765625
2011-05-01 00:40:00,41754.664,41755,0,6,1,0,40015.802083333336,1771.0122970625835,41754.6640625,36623.59765625,40015.802083333336,1771.0122970625835,41754.6640625,36623.59765625
2011-05-01 00:45:00,41840.18,41840,0,6,1,0,40198.23984375,1766.5847380091436,41840.1796875,36623.59765625,40198.23984375,1766.5847380091436,41840.1796875,36623.59765625
2011-05-01 00:50:00,42011.215,42011,0,6,1,0,40363.05575284091,1762.8234726410474,42011.21484375,36623.59765625,40363.05575284091,1762.8234726410474,42011.21484375,36623.59765625
2011-05-01 00:55:00,42011.215,42011,0,6,1,0,40500.40234375,1746.8289533134682,42011.21484375,36623.59765625,40500.40234375,1746.8289533134682,42011.21484375,36623.59765625
2011-05-01 01:00:00,42053.973,42054,1,6,1,0,40952.93359375,1296.5716001551282,42053.97265625,37991.8828125,40619.907752403844,1727.074742020209,42053.97265625,36623.59765625
2011-05-01 01:05:00,42096.73,42097,1,6,1,0,41295.004231770836,935.5785163583356,42096.73046875,39146.37109375,40725.39508928572,1705.6166314316695,42096.73046875,36623.59765625
2011-05-01 01:10:00,42139.492,42139,1,6,1,0,41544.430989583336,672.7386239976014,42139.4921875,40001.55078125,40819.668229166666,1683.6402831798928,42139.4921875,36623.59765625
2011-05-01 01:15:00,42182.25,42182,1,6,1,0,41726.155924479164,486.9567973769266,42182.25,40642.93359375,40904.82958984375,1661.8386245082947,42182.25,36623.59765625
2011-05-01 01:20:00,42267.77,42268,1,6,1,0,41861.558919270836,370.30247794495557,42267.76953125,41027.76171875,40985.00252757353,1642.6721483881643,42267.76953125,36623.59765625
2011-05-01 01:25:00,42310.527,42311,1,6,1,0,41968.4560546875,282.45580197349733,42310.52734375,41369.83203125,41058.64279513889,1623.9630651699474,42310.52734375,36623.59765625
2011-05-01 01:30:00,42310.527,42311,1,6,1,0,42046.847330729164,226.1362863818923,42310.52734375,41583.625,41124.53145559211,1604.1280524654037,42310.52734375,36623.59765625
2011-05-01 01:35:00,42353.29,42353,1,6,1,0,42110.986002604164,188.89155059076728,42353.2890625,41754.6640625,41185.9693359375,1585.3346907203006,42353.2890625,36623.59765625
2011-05-01 01:40:00,42353.29,42353,1,6,1,0,42160.871419270836,163.5856703586712,42353.2890625,41840.1796875,41241.555989583336,1566.0489056397785,42353.2890625,36623.59765625
2011-05-01 01:45:00,42353.29,42353,1,6,1,0,42203.630533854164,137.04818232151925,42353.2890625,42011.21484375,41292.089311079544,1546.5777020452674,42353.2890625,36623.59765625
2011-05-01 01:50:00,42353.29,42353,1,6,1,0,42232.13671875,128.70928960058356,42353.2890625,42011.21484375,41338.22843070652,1527.1354117472233,42353.2890625,36623.59765625
2011-05-01 01:55:00,42353.29,42353,1,6,1,0,42260.642903645836,112.14725633541808,42353.2890625,42053.97265625,41380.522623697914,1507.8714246281063,42353.2890625,36623.59765625
2011-05-01 02:00:00,42396.047,42396,2,6,1,0,42289.149088541664,97.33610537776784,42396.046875,42096.73046875,41621.041341145836,1128.8533166208636,42396.046875,37991.8828125
2011-05-01 02:05:00,42396.047,42396,2,6,1,0,42314.092122395836,80.42717980441118,42396.046875,42139.4921875,41804.548177083336,832.251356775549,42396.046875,39146.37109375
2011-05-01 02:10:00,42396.047,42396,2,6,1,0,42335.4716796875,61.718026196228074,42396.046875,42182.25,41939.951334635414,617.6646874610404,42396.046875,40001.55078125
2011-05-01 02:15:00,42438.805,42439,2,6,1,0,42356.851236979164,46.33481321329341,42438.8046875,42267.76953125,42041.503580729164,467.1221642165843,42438.8046875,40642.93359375
2011-05-01 02:20:00,42438.805,42439,2,6,1,0,42371.104166666664,42.59655318018487,42438.8046875,42310.52734375,42116.33154296875,366.3059104988518,42438.8046875,41027.76171875
2011-05-01 02:25:00,42481.562,42482,2,6,1,0,42385.357096354164,48.666648691182075,42481.5625,42310.52734375,42176.906575520836,290.9120456989281,42481.5625,41369.83203125
2011-05-01 02:30:00,42481.562,42482,2,6,1,0,42399.610026041664,49.79147919335111,42481.5625,42353.2890625,42223.228678385414,241.05150458411157,42481.5625,41583.625
