datetime,arrival_rate,job_count,hour,day_of_week,is_weekend,is_business_hours,arrival_rate_mean_12,arrival_rate_std_12,arrival_rate_max_12,arrival_rate_min_12,arrival_rate_mean_24,arrival_rate_std_24,arrival_rate_max_24,arrival_rate_min_24,scenario
2011-05-01 00:00:00,380233.84,380234,0,6,1,0,380233.84375,,380233.84375,380233.84375,380233.84375,,380233.84375,380233.84375,scenario_nominal
2011-05-01 00:05:00,386220.06,386220,0,6,1,0,383226.953125,4232.895871791058,386220.0625,380233.84375,383226.953125,4232.895871791058,386220.0625,380233.84375,scenario_nominal
2011-05-01 00:10:00,382799.38,382799,0,6,1,0,383084.4270833333,3003.2723400271893,386220.0625,380233.84375,383084.4270833333,3003.2723400271893,386220.0625,380233.84375,scenario_nominal
2011-05-01 00:15:00,372964.8,372965,0,6,1,0,380554.5234375,5622.699203026786,386220.0625,372964.8125,380554.5234375,5622.699203026786,386220.0625,372964.8125,scenario_nominal
2011-05-01 00:20:00,363557.88,363558,0,6,1,0,377155.19375,9027.085430380212,386220.0625,363557.875,377155.19375,9027.085430380212,386220.0625,363557.875,scenario_nominal
2011-05-01 00:25:00,356288.88,356289,0,6,1,0,373677.4739583333,11737.028022033785,386220.0625,356288.875,373677.4739583333,11737.028022033785,386220.0625,356288.875,scenario_nominal
2011-05-01 00:30:00,352440.56,352441,0,6,1,0,370643.62946428574,13387.594103875164,386220.0625,352440.5625,370643.62946428574,13387.594103875164,386220.0625,352440.5625,scenario_nominal
2011-05-01 00:35:00,352012.97,352013,0,6,1,0,368314.796875,14036.075378213069,386220.0625,352012.96875,368314.796875,14036.075378213069,386220.0625,352012.96875,scenario_nominal
2011-05-01 00:40:00,354578.53,354579,0,6,1,0,366788.5451388889,13905.034511926204,386220.0625,352012.96875,366788.5451388889,13905.034511926204,386220.0625,352012.96875,scenario_nominal
2011-05-01 00:45:00,359282.0,359282,0,6,1,0,366037.890625,13322.967954930016,386220.0625,352012.96875,366037.890625,13322.967954930016,386220.0625,352012.96875,scenario_nominal
2011-05-01 00:50:00,365695.8,365696,0,6,1,0,366006.7926136364,12639.698001325089,386220.0625,352012.96875,366006.7926136364,12639.698001325089,386220.0625,352012.96875,scenario_nominal
2011-05-01 00:55:00,371254.47,371254,0,6,1,0,366444.0989583333,12146.316008679818,386220.0625,352012.96875,366444.0989583333,12146.316008679818,386220.0625,352012.96875,scenario_nominal
2011-05-01 01:00:00,376813.12,376813,1,6,1,0,366159.0390625,11829.268202650965,386220.0625,352012.96875,367241.7163461539,11979.528037437429,386220.0625,352012.96875,scenario_nominal
2011-05-01 01:05:00,380661.44,380661,1,6,1,0,365695.8203125,11055.83962548382,382799.375,352012.96875,368200.2678571429,12055.431351293995,386220.0625,352012.96875,scenario_nominal
2011-05-01 01:10:00,384082.12,384082,1,6,1,0,365802.7161458333,11240.89524318832,384082.125,352012.96875,369259.05833333335,12319.41659412362,386220.0625,352012.96875,scenario_nominal
2011-05-01 01:15:00,386220.06,386220,1,6,1,0,366907.3203125,12580.163274453873,386220.0625,352012.96875,370319.12109375,12634.472120668615,386220.0625,352012.96875,scenario_nominal
2011-05-01 01:20:00,387075.25,387075,1,6,1,0,368867.1015625,13785.04882286138,387075.25,352012.96875,371304.7757352941,12890.646769585011,387075.25,352012.96875,scenario_nominal
2011-05-01 01:25:00,386647.66,386648,1,6,1,0,371397.0,14050.024231050624,387075.25,352012.96875,372157.1579861111,13018.146542135628,387075.25,352012.96875,scenario_nominal
2011-05-01 01:30:00,384937.3,384937,1,6,1,0,374105.0625,13168.2307077008,387075.25,352012.96875,372829.7976973684,12986.664698044073,387075.25,352012.96875,scenario_nominal
2011-05-01 01:35:00,382371.78,382372,1,6,1,0,376634.9635416667,11325.347841131626,387075.25,354578.53125,373306.896875,12819.104281957643,387075.25,352012.96875,scenario_nominal
2011-05-01 01:40:00,379806.25,379806,1,6,1,0,378737.2734375,8951.550960259632,387075.25,359282.0,373616.3898809524,12574.755154575452,387075.25,352012.96875,scenario_nominal
2011-05-01 01:45:00,376813.12,376813,1,6,1,0,380198.2005208333,6612.769313321097,387075.25,365695.8125,373761.6960227273,12290.615766133596,387075.25,352012.96875,scenario_nominal
