datetime,arrival_rate,job_count,hour,day_of_week,is_weekend,is_business_hours,arrival_rate_mean_12,arrival_rate_std_12,arrival_rate_max_12,arrival_rate_min_12,arrival_rate_mean_24,arrival_rate_std_24,arrival_rate_max_24,arrival_rate_min_24,scenario
2011-05-01 00:00:00,387502.84,387503,0,6,1,0,387502.84375,,387502.84375,387502.84375,387502.84375,,387502.84375,387502.84375,scenario_nominal
2011-05-01 00:05:00,397764.97,397765,0,6,1,0,392633.90625,7256.418176883999,397764.96875,387502.84375,392633.90625,7256.418176883999,397764.96875,387502.84375,scenario_nominal
2011-05-01 00:10:00,399047.72,399048,0,6,1,0,394771.84375,6327.72728873685,399047.71875,387502.84375,394771.84375,6327.72728873685,399047.71875,387502.84375,scenario_nominal
2011-05-01 00:15:00,400330.5,400330,0,6,1,0,396161.5078125,5866.692985561174,400330.5,387502.84375,396161.5078125,5866.692985561174,400330.5,387502.84375,scenario_nominal
2011-05-01 00:20:00,401185.7,401186,0,6,1,0,397166.34375,5555.361486580511,401185.6875,387502.84375,397166.34375,5555.361486580511,401185.6875,387502.84375,scenario_nominal
2011-05-01 00:25:00,399475.3,399475,0,6,1,0,397551.171875,5057.488419365062,401185.6875,387502.84375,397551.171875,5057.488419365062,401185.6875,387502.84375,scenario_nominal
2011-05-01 00:30:00,392633.9,392634,0,6,1,0,396848.7053571429,4976.883769419923,401185.6875,387502.84375,396848.7053571429,4976.883769419923,401185.6875,387502.84375,scenario_nominal
2011-05-01 00:35:00,379806.25,379806,0,6,1,0,394718.3984375,7585.285156623729,401185.6875,379806.25,394718.3984375,7585.285156623729,401185.6875,379806.25,scenario_nominal
2011-05-01 00:40:00,369971.72,369972,0,6,1,0,391968.7673611111,10880.658139564715,401185.6875,369971.71875,391968.7673611111,10880.658139564715,401185.6875,369971.71875,scenario_nominal
2011-05-01 00:45:00,369544.12,369544,0,6,1,0,389726.303125,12470.801003062998,401185.6875,369544.125,389726.303125,12470.801003062998,401185.6875,369544.125,scenario_nominal
2011-05-01 00:50:00,375102.78,375103,0,6,1,0,388396.8920454545,12625.745993595698,401185.6875,369544.125,388396.8920454545,12625.745993595698,401185.6875,369544.125,scenario_nominal
2011-05-01 00:55:00,383654.53,383655,0,6,1,0,388001.6953125,12115.76898609782,401185.6875,369544.125,388001.6953125,12115.76898609782,401185.6875,369544.125,scenario_nominal
2011-05-01 01:00:00,392633.9,392634,1,6,1,0,388429.2838541667,12186.896767825148,401185.6875,369544.125,388358.0192307693,11670.894174495876,401185.6875,369544.125,scenario_nominal
2011-05-01 01:05:00,400758.1,400758,1,6,1,0,388678.7109375,12423.668597627387,401185.6875,369544.125,389243.73883928574,11692.522623524132,401185.6875,369544.125,scenario_nominal
2011-05-01 01:10:00,408027.1,408027,1,6,1,0,389426.9921875,13341.48503440078,408027.09375,369544.125,390495.9625,12266.649237366477,408027.09375,369544.125,scenario_nominal
2011-05-01 01:15:00,413158.16,413158,1,6,1,0,390495.9635416667,14735.599195720892,413158.15625,369544.125,391912.349609375,13135.36233643378,413158.15625,369544.125,scenario_nominal
2011-05-01 01:20:00,416578.88,416579,1,6,1,0,391778.7291666667,16334.06629849502,416578.875,369544.125,393363.3216911765,14055.055119934936,416578.875,369544.125,scenario_nominal
2011-05-01 01:25:00,418289.22,418289,1,6,1,0,393346.5546875,17961.804629054852,418289.21875,369544.125,394748.09375,14847.255339920262,418289.21875,369544.125,scenario_nominal
2011-05-01 01:30:00,418716.8,418717,1,6,1,0,395520.1302083333,19389.171363970963,418716.8125,369544.125,396009.6052631579,15441.213814275805,418716.8125,369544.125,scenario_nominal
2011-05-01 01:35:00,417861.62,417862,1,6,1,0,398691.4114583333,19695.111735750652,418716.8125,369544.125,397102.20625,15803.721649125368,418716.8125,369544.125,scenario_nominal
2011-05-01 01:40:00,415723.7,415724,1,6,1,0,402504.0755208333,17984.115415295622,418716.8125,369544.125,397988.94345238095,15930.53976652067,418716.8125,369544.125,scenario_nominal
2011-05-01 01:45:00,411020.22,411020,1,6,1,0,405960.4166666667,14772.589198009857,418716.8125,375102.78125,398581.2741477273,15792.911695980778,418716.8125,369544.125,scenario_nominal
2011-05-01 01:50:00,404178.8,404179,1,6,1,0,408383.4192708333,11204.919610299046,418716.8125,383654.53125,398824.6453804348,15473.889169081249,418716.8125,369544.125,scenario_nominal
2011-05-01 01:55:00,396909.78,396910,1,6,1,0,409488.0234375,8977.431909120736,418716.8125,392633.90625,398744.859375,15138.808949837052,418716.8125,369544.125,scenario_nominal
2011-05-01 02:00:00,390923.56,390924,2,6,1,0,409345.4947916667,9277.888137753192,418716.8125,390923.5625,398887.3893229167,15044.171993458049,418716.8125,369544.125,scenario_nominal
2011-05-01 02:05:00,386220.06,386220,2,6,1,0,408133.9921875,11242.373538498694,418716.8125,386220.0625,398406.3515625,15264.581563826749,418716.8125,369544.125,scenario_nominal
2011-05-01 02:10:00,381944.2,381944,2,6,1,0,405960.4166666667,13549.578545363662,418716.8125,381944.1875,397693.7044270833,15628.254886765311,418716.8125,369544.125,scenario_nominal
2011-05-01 02:15:00,378095.9,378096,2,6,1,0,403038.5625,15496.857660132911,418716.8125,378095.90625,396767.2630208333,16116.553767351425,418716.8125,369544.125,scenario_nominal
2011-05-01 02:20:00,374247.6,374248,2,6,1,0,399510.9557291667,16889.830924749607,418716.8125,374247.59375,395644.8424479167,16722.119146567296,418716.8125,369544.125,scenario_nominal
2011-05-01 02:25:00,368688.94,368689,2,6,1,0,395377.5989583333,17914.667080438685,418716.8125,368688.9375,394362.0768229167,17574.598503013272,418716.8125,368688.9375,scenario_nominal
2011-05-01 02:30:00,360137.16,360137,2,6,1,0,390495.9609375,18929.278666012164,417861.625,360137.15625,393008.0455729167,18914.322601782136,418716.8125,360137.15625,scenario_nominal
